000000	000100	000100	000000	000100	000100	000100	000000	000100	000100	000100	000100	000000	000100	000100	000000
000110	010000	010000	000110	010000	010000	010000	000110	010000	010000	010000	010100	000110	010000	010000	000110
000000	000100	000100	000000	010100	000100	000100	000000	010000	010000	010100	010000	000110	010000	010000	000110
000110	010000	010000	000110	010100	010000	010000	000110	010000	010100	010000	010000	000000	000100	000100	000000
000110	010000	010100	000110	010000	010000	010000	000000	000100	000100	000000	000100	000000	010000	010000	000110
000110	010100	010100	000000	000100	000100	000100	000000	010100	010000	000110	010000	000110	010000	010000	000110
000000	000100	000100	000000	010000	010100	010100	000110	010100	010100	000110	010000	000110	010000	010000	000110
000110	010000	010000	000110	010000	010100	010000	000000	000000	000100	000000	000100	000000	010000	010000	000110
000110	010000	010000	000000	000100	000000	000100	000000	000000	010000	010100	010000	000110	010000	010000	000110
000110	010000	010000	000110	010000	000110	010100	010100	000110	010100	010100	010000	000000	000100	000100	000000
000110	010000	010000	000110	010000	000110	010000	010100	000000	000100	000100	000100	000000	010100	010100	000110
000110	010000	010000	000000	000100	000000	000100	000100	000000	010000	010000	010000	000110	010100	010000	000110
000000	000100	000100	000000	010000	010000	010100	010000	000110	010000	010000	010100	000110	010000	010000	000110
000110	010000	010000	000110	010000	010100	010000	010000	000000	000100	000100	010100	000000	000100	000100	000000
000110	010000	010000	000110	010100	010000	010000	010000	000110	010000	010000	010000	000110	010000	010000	000110
000000	000100	000100	000000	000100	000100	000100	000100	000000	000100	000100	000100	000000	000100	000100	000000
